Name,Player_Type,Latest_Team,Matches_Played,Total_Pts
Rohit Kumar,Raider,up yoddha,7,3
Bhavani Rajput,All Rounder,tamil thalaivas,4,3
Vikrant,All Rounder,telugu titans,3,3
Hyunil Park,Raider,telugu titans,2,3
Ravinder,Raider,patna pirates,4,3
Arun Kumar HN,"Defender, right corner",haryana steelers,4,3
Mithin Kumar,"Defender, right cover",bengal warriors,3,3
Satish,Raider,patna pirates,10,3
Muruthu M,Raider,tamil thalaivas,3,3
Md. Masud Karim,"Defender, right cover",up yoddha,3,3
Anand V,"Defender, right cover",bengaluru bulls,3,3
Tushar Balaram Bhoir,Raider,dabang delhi kc,10,3
Amit Kharb,Raider,gujarat fortunegiants,8,2
Gaurav Kumar,All Rounder,u mumba,3,2
Aman Kadian,All Rounder,dabang delhi kc,3,2
Vimal Raj V,Raider,tamil thalaivas,5,2
Balram,Raider,dabang delhi kc,1,2
Palle Mallikarjun,"Defender, left cover",telugu titans,3,2
Ravit Kumar,Raider,telugu titans,3,2
Shashank Wankhede,"Defender, left corner",bengal warriors,5,2
Jay Bahadur Bohara,"Defender, left cover",puneri paltan,1,2
Nirbhay Narwal,"Defender, left cover",bengaluru bulls,2,2
Sushil Vijay Bhosle,All Rounder,bengal warriors,2,2
Babu M,"Defender, left cover",haryana steelers,2,2
N. Shiva Ramakrishna,Raider,jaipur pink panthers,1,2
Vishav Chaudhary,"Defender, left corner",up yoddha,2,2
Kuldeep,All Rounder,bengal warriors,5,2
Farhad Kamal Gharibi,All Rounder,bengal warriors,2,2
Takamitsu Kono,"Defender, right corner",puneri paltan,1,2
Dong Ju Hong,Raider,u mumba,9,2
Gokul Shitole,Raider,jaipur pink panthers,4,2
Md. Aruduzzaman Munshi,Raider,u mumba,6,2
Sandeep Tomar,Raider,dabang delhi kc,3,2
Vinoth Paulyas,"Defender, left corner",patna pirates,4,2
Anoop E.V.,"Defender, left cover",u mumba,3,2
Sandeep Malik,Raider,puneri paltan,1,2
Aman Kumar,"Defender, right and left cover",patna pirates,4,2
Sunny,Raider,patna pirates,3,1
Adinath Sakharam Gavali,All Rounder,u mumba,1,1
Rohit Kumar Prajapat,Raider,jaipur pink panthers,3,1
Kazuhiro Takano,All Rounder,jaipur pink panthers,2,1
Inderpal Bishnoi,"Defender, right corner",dabang delhi kc,2,1
Amit Kumar,All Rounder,puneri paltan,1,1
Sunil Subhash Lande,"Defender, right corner",puneri paltan,4,1
Atif Waheed,Raider,telugu titans,3,1
Nithesh B R,All Rounder,bengaluru bulls,2,1
Mohammad Taghi Paein Mahali,Raider,bengal warriors,3,1
Yong Joo Ok,Raider,u mumba,1,1
Vishnu Uthaman,Raider,patna pirates,3,1
Ajvender Singh,"Defender, left corner",up yoddha,2,1
Sanju,"Defender, right cover",dabang delhi kc,4,1
Ravinandan G.M.,Raider,dabang delhi kc,1,1
Navjot Singh,"Defender, right corner",dabang delhi kc,1,1
Parvesh Attri,All Rounder,bengaluru bulls,1,1
Hardeep Duhan,Defender,bengaluru bulls,1,1
Parveen Narwal,All Rounder,jaipur pink panthers,1,1
Ajay Singh,"Defender, right cover",bengaluru bulls,1,1
Nitin Kumar,"Defender, right cover",u mumba,1,1
Jishnu,"Defender, right cover",telugu titans,3,1
Naveen Narwal,Raider,bengal warriors,3,1
M. Abishek,"Defender, left corner",tamil thalaivas,3,1
Vikas Chhillar,"Defender, left cover",haryana steelers,1,1
Aman,"Defender, left cover",bengaluru bulls,1,1
Satywan,Raider,dabang delhi kc,1,1
Vikram Kandola,"Defender, right corner",haryana steelers,3,1
Emad Sedaghatnia,All Rounder,puneri paltan,1,1
Aashish Nagar,Raider,up yoddha,3,1
